,price,no_of_reviews,availability_365,host_listings_count,clusters
0,125.0,771,290,2,dark purple
1,65.0,93,102,2,purple
2,62.0,1,200,1,pink
3,165.0,493,0,1,dark purple
4,255.0,46,364,5,pink
5,100.0,33,179,1,purple
6,391.0,37,4,3,dark pink
7,95.0,449,0,1,dark purple
8,140.0,275,180,1,purple
9,150.0,35,5,3,purple
10,126.0,100,89,1,purple
11,139.0,3,0,2,purple
12,95.0,23,361,3,pink
13,95.0,143,156,2,purple
14,48.0,0,364,6,pink
15,100.0,3,89,5,purple
16,99.0,514,0,1,dark purple
17,800.0,7,0,1,dark pink
18,68.0,0,359,2,pink
19,150.0,101,92,1,purple
20,139.0,0,0,1,purple
21,134.0,160,345,1,pink
22,115.0,42,346,1,pink
23,163.0,16,365,1,pink
24,153.0,51,365,5,pink
25,150.0,17,242,2,pink
26,92.0,84,224,3,pink
27,55.0,2,364,7,pink
28,152.0,101,1,6,purple
29,42.0,57,151,6,purple
30,189.0,0,364,2,pink
31,139.0,203,0,1,purple
32,51.0,118,234,1,pink
33,139.0,8,0,1,purple
34,98.0,68,74,1,purple
35,48.0,0,356,1,pink
36,72.0,233,135,4,purple
37,70.0,398,137,4,dark purple
38,150.0,283,0,1,purple
39,90.0,662,7,1,dark purple
40,135.0,7,364,19,pink
41,100.0,0,364,1,pink
42,75.0,27,364,4,pink
43,112.0,710,112,1,dark purple
44,100.0,27,0,1,purple
45,139.0,36,0,1,purple
46,176.0,128,89,1,purple
47,139.0,29,0,1,purple
48,211.0,6,363,1,pink
49,100.0,78,292,1,pink
50,69.0,120,0,3,purple
51,150.0,75,166,1,purple
52,75.0,131,339,4,pink
53,30.0,0,0,1,purple
54,99.0,66,80,1,purple
55,128.0,110,180,3,purple
56,490.0,0,89,1,dark pink
